bl_qv,bl_z,delta_theta,delta_qv,n_a,baut
1.070601238649849485e+01,1.000250000000000000e+03,1.837700804550433986e+01,-1.839448471813184938e+00,3.288690482388615237e+02,-1.400084506285740105e+00
nan,nan,nan,nan,nan,-2.292227530890400100e+00
1.028563550649716518e+01,6.977489948874991796e+02,1.037199926111850345e+01,-7.914679977924691023e+00,2.286816132346096424e+02,-1.362997457726810024e+00
nan,nan,nan,nan,nan,-2.126615897051160164e+00
1.090325397515372785e+01,7.527500000000002274e+02,1.409857054585279457e+01,-6.112802684173053613e+00,2.005884446012001661e+02,-2.172698030787080015e+00
nan,nan,nan,nan,nan,-1.958330357576999914e+00
nan,nan,nan,nan,nan,-1.729057766229000093e+00
nan,nan,nan,nan,nan,-1.405815439016830037e+00
1.197348773170040204e+01,7.802500000000000000e+02,5.773935267840158758e+00,-5.845516326617997471e+00,3.026590252263209777e+02,-2.099835801223819853e+00
nan,nan,nan,nan,nan,-1.373462287190510001e+00
nan,nan,nan,nan,nan,-1.366611996826099906e+00
1.143564831869606735e+01,4.862040363003622474e+02,1.488916004137786331e+01,-7.997270722207291627e+00,3.979039413994748315e+02,-1.385208196910409972e+00
nan,nan,nan,nan,nan,-2.198981797747430189e+00
8.942883693345176965e+00,1.027750000000000000e+03,1.767653882704235002e+01,-5.656719311975153985e+00,4.351068718792431014e+02,-1.340926136423600035e+00
nan,nan,nan,nan,nan,-1.314981809605179963e+00
9.745642199762984959e+00,9.067500000000000000e+02,1.928962739788812542e+01,-4.271723066732546314e+00,1.169399713778871899e+02,-1.812011304501250031e+00
1.076695573766981262e+01,6.381588853902871961e+02,5.385062788862114758e+00,-2.872367146210504707e+00,3.521390228040901889e+02,-1.471771080493680106e+00
nan,nan,nan,nan,nan,-1.996639354504740060e+00
1.074868002373469267e+01,6.381588853902871961e+02,5.884245579921469016e+00,-2.522193018911258022e+00,2.791129902584243041e+02,-1.585458899154670087e+00
9.238161907575888065e+00,1.000250000000000000e+03,1.148222920815396719e+01,-3.098131930323425820e+00,1.871200377008706255e+02,-1.874415303821699963e+00
1.084493659208804317e+01,1.011250000000000000e+03,6.227132266639841873e+00,-4.016481708455832411e+00,2.514261713573036729e+02,-1.430037823323240032e+00
1.101001336476088710e+01,6.700300351637217773e+02,6.441597443420050695e+00,-5.900186493932471521e+00,2.493253615717123353e+02,-1.640533597748329964e+00
1.109145993944481745e+01,1.038750000000000000e+03,9.797550185809711820e+00,-5.011470834711608369e+00,3.853700976107711540e+02,-1.523976103859999931e+00
8.550229311798608123e+00,1.077250000000000000e+03,6.092973693348767483e+00,-4.249069189844941086e+00,3.163614935281500493e+02,-1.659719665216289997e+00
9.865369874363533853e+00,1.280750000000000000e+03,1.449986820150792255e+01,-4.134616142299842423e+00,1.230959486492613451e+02,-1.558019408333600087e+00
1.292666452475415007e+01,7.197499991295579775e+02,9.559354991286113545e+00,-9.552880895090119395e+00,1.124446920490077986e+02,-1.491620832300750044e+00
1.102126811561716302e+01,6.642763052114300990e+02,6.650084198308093164e+00,-3.285241086201422966e+00,1.020841146241700841e+02,-1.673413556236930111e+00
